Al2O3_Bauxite;Fe2O3_Bauxite;T-SiO2_Bauxite;R-SiO2_Bauxite;TiO2_Bauxite;LOI_Bauxite;THA_Bauxite;Average_MC_RM;F-NaOH_Spend_Liquor;A/C_Spend_Liquor;SC_Spend_Liquor;F-NaOH_SLE_Outlet;A/C_SLE_Outlet;F-NaOH_BDH-P-102;A/C_BDH-P-102;F-NaOH_BOS;A/C_BOS;SiO2_BOS;SC_BOS;F-NaOH_PFS_Filtrate;A/C_PFS_Filtrate;F-NaOH_Pregnant_Liquor;A/C_Pregnant_Liquor;Na2CO3_Pregnant_Liquor;F/T-NaOH_Pregnant_Liquor
51.4407;13.1486;12;3.4719;1.366;26.75;45.753477;12.8;150.8;0.447;11.25;177.8;0.478;149.6;0.458;145.1;0.849;0.647;31.91;137.3;0.858;146.3;0.813;36.4;81.30119648
51.4407;13.1486;12;3.4719;1.366;26.75;45.753477;14.4;150.8;0.454;12.25;185.6;0.452;154.1;0.462;148.5;0.867;0.357;8.6;139.5;0.52;148.5;0.845;37;81.27643381
51.4407;13.1486;12;3.4719;1.366;26.75;45.753477;12;161.9;0.432;2.84;183.8;0.438;160.8;0.423;166;0.843;0.267;40.67;148.7;0.788;154.5;0.797;38.5;81.26649274
51.4407;13.1486;12;3.4719;1.366;26.75;45.753477;13.6;149.8;0.469;2.21;180.9;0.445;158.7;0.409;153.2;0.836;0.483;50.64;140.9;0.819;144.8;0.834;36.1;81.26605329
47.9181;14.27375;10.34535;3.0322;1.28805;26.03435;42.5325835;16.3;143.1;0.49;9.92;167;0.469;150.7;0.468;143.1;0.816;0.424;41;136.6;0.798;144.2;0.799;35.9;81.28924884
48.2942;15.5038;9.2067;2.9524;1.3442;26.2837;42.809562;14.79;151.2;0.506;2.27;174.1;0.5;150.1;0.482;155.6;0.78;0.575;57.92;137;0.783;143.6;0.787;35.8;81.2625563
48.29;15.5;9.21;2.95;1.34;26.28;42.8085;14.39;149.1;0.482;1.07;183.9;0.45;151.2;0.458;149.1;0.814;0.691;32.55;143.6;0.791;150.1;0.794;37.4;81.2701235
47.8131;15.1527;9.69925;2.9516;1.2815;25.8425;42.381983;15.67;140.3;0.508;6.91;;;155.6;0.469;144.7;0.799;0.57;49.5;150.1;0.659;150.1;0.687;37.4;81.26008163
47.8131;15.1527;9.69925;2.9516;1.2815;25.8425;42.381983;15.05;152.3;0.475;1.64;175.2;0.467;152.3;0.472;146.9;0.844;0.457;43.3;142.5;0.749;145.8;0.772;36.3;81.28493094
47.8131;15.1527;9.69925;2.9516;1.2815;25.8425;42.381983;15;165.4;0.46;3.06;183.9;0.484;148;0.496;151.2;0.789;0.663;50.09;142.5;0.771;153.4;0.74;38.2;81.27447064
47.8382;15.5706;10.0031;3.0896;1.3375;25.4337;42.196738;14;153.4;0.489;6.32;179.5;0.493;157.8;0.472;152.3;0.862;;46.83;142.5;0.83;150.1;0.829;37.4;81.27340589
47.8382;15.5706;10.0031;3.0896;1.3375;25.4337;42.196738;;155.6;0.502;4.55;187.1;0.473;159.9;0.479;167.5;0.491;0.652;5.83;151.2;0.523;153.4;0.526;38.2;81.25480652
47.8382;15.5706;10.0031;3.0896;1.3375;25.4337;42.196738;15;151.2;0.482;4.19;176.3;0.485;154.5;0.575;150.1;0.857;0.136;40.7;139.3;0.842;149.1;0.842;37.1;81.30077506
48.66035;16.15625;8.42405;2.8985;1.1665;25.9137;43.1355175;13.4;152.3;0.479;2.2;183.9;0.425;150.1;0.482;151.2;0.813;0.511;42.25;137.1;0.84;143.6;0.827;35.8;81.26647829
48.1111;15.8862;8.756;2.9611;1.2672;25.765;42.559793;12.4;152.3;0.477;1.13;179.5;0.49;155.6;0.46;156.7;0.813;0.331;47.24;145.8;0.794;150.1;0.768;37.4;81.26768441
48.1111;15.8862;8.756;2.9611;1.2672;25.765;42.559793;12.4;153.4;0.446;7.84;171.9;0.481;151.2;0.484;148;0.807;0.508;22.45;132.7;0.817;146.9;0.781;36.6;81.27186352
